Name,D,P,H
Isobutyl alcohol,15.1,5.7,15.9
Isobutyl isobutyrate,15.1,2.9,5.9
Isooctyl alcohol,14.4,7.3,12.9
Isopentane,13.7,0.0,0.0
Isophorone,16.6,8.2,7.4
Isopropyl palmitate,14.3,3.9,3.7
Mesitylene,18.0,0.0,0.6
Mesityl oxide,16.4,6.1,6.1
Methacrylonitrile,15.8,15.1,5.4
Methanol,15.1,12.3,22.3
o-Methoxyphenol,18.0,8.2,13.3
Methyl acetate,15.5,7.2,7.6
Methyl acrylate,15.3,6.7,9.4
Methylal,15.0,1.8,8.6
Methyl amyl acetate,15.2,3.1,6.8
Methyl butyl ketone,15.3,6.1,4.1
Methyl chloride,15.3,6.1,3.9
Methylcyclohexane,16.0,0.0,1.0
Methylene dichloride,18.2,6.3,6.1
Methylene diiodide,17.8,3.9,5.5
Methyl ethyl ketone,16.0,9.0,5.1
Methyl isoamyl ketone,16.0,5.7,4.1
Methyl isobutyl carbinol,15.4,3.3,12.3
Methyl isobutyl ketone,15.3,6.1,4.1
Methyl methacrylate,15.8,6.5,54.0
1-Methylnaphthalene,20.6,0.8,4.7
Methyl oleate,14.5,3.9,3.7
2-Methyl-1-propanol(repeated),15.1,5.7,15.9
Methyl-2-pyrrolidone,18.0,12.3,7.2
Methyl salicylate,18.1,8.0,13.9
Morpholine,18.8,4.9,9.2
"Naphtha,high-flash",17.9,0.7,1.8
Naphthalene,19.2,2.0,5.9
Nitrobenzene,20.0,8.6,4.1
Nitroethane,16.0,15.5,4.5
Nitromethane,15.8,18.8,5.1
1-Nitropropane,16.6,12.3,5.5
2-Nitropropane,16.2,12.1,4.1
Nonane,15.7,0.0,0.0
Nonyl phenol,16.5,4.1,9.2
Nonyl phenoxy ethanol,16.7,10.2,8.4
Octane,15.5,0.0,0.0
Octanoic acid,15.1,3.3,8.2
1-Octanol,16.0,5.0,11.9
2-Octanol,16.1,4.9,11.0
Oleic acid,16.0,28.0,6.2
Oleyl alcohol,16.0,2.6,8.0
Pentane,14.5,0.0,0.0
"2,4-Pentanedione",17.1,9.0,4.1
1-Pentanol,15.9,5.9,13.9
Perfluoro(dimethylcyclohexane),12.4,0.0,0.0
Perfluoroheptane,12.0,0.0,0.0
Perfluoromethylcyclohexane,12.4,0.0,0.0
Phenol,18.0,5.9,14.9
Bis-(m-phenoxyphenyl) ether,19.6,3.1,5.1
1-Propanol,16.0,6.8,17.4
2-Propanol,15.8,6.1,16.4
Propionitrile,15.3,14.3,5.5
Propylamine,16.9,4.9,8.6
Propyl chloride,16.0,7.8,2.0
Propylene carbonate,20.0,18.0,4.1
Propylene glycol,16.8,9.4,23.3
Propylene glycol monobutyl ether,15.3,4.5,9.2
Propylene glycol monoethyl ether,15.7,6.5,10.5
Propylene glycol monoisobutyl ether,15.1,4.7,9.8
Propylene glycol monomethyl ether,15.6,6.3,11.6
Propylene glycol monophenyl ether,17.4,5.3,11.5
Propylene glycol monopropyl ether,15.8,7.0,9.2
Pyridine,19.0,8.8,5.9
2-Pyrolidone,19.4,17.4,11.3
Quinoline,19.4,5.6,5.7
Stearic acid,16.3,3.3,5.5
Styrene,18.6,1.0,4.1
Succinic anhydride,18.6,19.2,16.6
"1,1,2,2-Tetrabromoethane",22.6,5.1,8.2
"1,1,2,2-Tetrachloroethane",18.8,5.1,9.4
Tetrachloroethylene,18.3,5.7,0.0
Tetraethylorthosilicate,13.9,4.3,0.6
Tetrahydrofuran,16.8,5.7,8.0
Tetrahydronaphthalene,19.6,2.0,2.9
Tetramethylurea,16.7,8.2,11.0
Toluene,18.0,1.4,2.0
Tributyl phosphate,16.3,6.3,4.3
Trichlorobiphenyl,19.2,5.3,4.1
"1,1,1-Trichloroethane",16.8,4.3,2.0
Trichloroethylene,18.0,3.1,5.3
Trichlorofluoromethane,15.3,2.0,0.0
"1,1,2-Trichlorotrifluoroethane",14.7,1.6,0.0
Tricresyl phosphate,19.0,12.3,4.5
Tridecyl alcohol,16.2,3.1,9.0
Triethanolamine,17.3,22.4,23.3
Triethylamine,17.8,0.4,1.0
Triethyleneglycol,16.0,12.5,18.6
Triethylene glycol monooleyl ether,16.0,3.1,8.4
Triethylphosphate,16.7,11.4,9.2
Trifluoroacetic acid,15.6,9.9,11.6
Trimethylbenzene,18.0,1.0,1.0
"2,2,2,4-Trimethylpentane",14.1,0.0,0.0
"2,2,4-Trimethyl-1,3-pentanediol monoisobutyrate",15.1,6.1,9.8
Trimethyl phosphate,16.7,15.9,10.2
Water,15.5,16.0,42.3
m-Xylene,17.6,1.0,3.1
o-xylene,17.8,1.0,3.1
t-Butyl Alcohol,15.2,5.1,14.7
1-Methylimidazole,19.7,15.6,11.2
Isopropyl Ether,15.1,3.2,3.2
Methyl-t-Butyl Ether,14.8,4.3,5.0
Tetronic_1107, 16.37, 14.72, 8.50
Tetronic_1307, 16.02, 11.75, 6.79
Tetronic_90R4, 14.58, 10.72, 6.19
Poloxamer_188, 15.96, 11.71, 6.76
Poloxamer_407, 15.35, 11.28, 6.51
